implicit_questions_known,explicit_questions_known,explicit_questions_unknown,implicit_questions_unknown
Чистый ли,Он чистый,Сушеный ли он,Сушеный ли 
Свежий ли,Свежий ли он,Он склизский,Склизский ли 
Жареный ли,Он жареный,Он раскрыт,Раскрыт ли 
Сладкий ли,Сладкий ли он,Пушистый ли он,Пушистый ли 
Съедобный ли,Он съедобный,Он квадратный ,Квадратный ли 
Влажный ли,Влажный ли он,Увядший ли он,Увядший ли 
Сиреневый ли,Сиреневый ли он,Разноцветный ли он,Разноцветный ли 
Репчатый ли,Он репчатый,Он с веточкой,С веточкой ли
Рыхлый ли ,Рыхлый ли он,Испачкан ли он,Испачкан ли 
В стручке ли,Он в стручке,Он разрезан,Разрезан ли
Плоский ли,Он плоский,Он фаршированный ,Фаршированный ли 
Полосатый ли,Он полосатый,Он с лепестками,С лепестками ли 
Ядовитый ли,Ядовитый ли он,Колючий ли он,Колючий ли
Легкий ли,Легкий ли он,Оранжевый ли  он,Оранжевый ли 
Зеленый ли,Зеленый ли он,Он зернистый,Зернистый ли 
Толчёный ли,Он толчёный,Округлый ли он,Округлый ли 
Полый ли,Полый ли он,Он с чашуйками,С чашуйками ли 
С молоком ли,Он с молоком,Он розовый ,Розовый ли 
Гладкий ли,Гладкий ли он,Цельный ли он,Цельный ли
Пористый ли,Пористый ли он,Очищен ли он,Очищен ли
Вареный ли,Он вареный,Он шершавый,Шершавый ли  
Плотный ли,Плотный ли он,Заострен ли он,Заострен ли 
Ворсистый ли,Он ворсистый,Он рассыпчатый ,Рассыпчатый ли 
Мягкий ли,Он мягкий,Тонкий ли он,Тонкий ли 
Старый ли,Он старый,Ребристый ли он,Ребристый ли 
Фиолетовый ли ,Фиолетовый ли он,Он белый внутри,Белый ли внутри
С цедрой ли  ,Он с цедрой ,Голубой ли он,Голубой ли 
Кислый ли ,Кислый ли он,Он с бугорками,С бугорками ли
Упругий ли ,Упругий ли он,Овальный ли он,Овальный ли
Длинный ли ,Он длинный,Жидкий ли он,Жидкий ли  
Сочный ли,Сочный ли он,Он лохатый,Лохматый ли 
Без кожуры ли  ,Он без кожуры,Он золотистый ,Золотистый ли 
Слоеный ли ,Он слоеный,Он шарообразный,Шарообразный ли 
Сырой ли,Сырой ли он,Сорван ли он,Сорван ли 
Гнилой ли ,Он гнилой,Он перекручен,Перекручен ли 
Бугристый ли ,Он бугристый,Ровный ли он,Ровный ли
Блестит ли,Блестит ли он,Он надрезан,Надрезан ли
Хрустящий ли ,Хрустящий ли  он,Желтый ли  он,Желтый ли  
Черный ли ,Черный ли  он,Спрессован ли  он,Спрессован ли  
Цитрусовый ли ,Он цитрусовый,Он имет шипы ,Имет ли шипы 
С ботвой ли,Он с ботвой,Он красноватый,Красноватый ли 
Алый ли ,Он алый,Скручен ли он,Скручен ли
Пряный ли ,Пряный ли он,Изогнут ли он,Изогнут ли 
Пышный ли,Пышный ли он,Однотонный ли он,Однотонный ли 
Соленый ли ,Он соленый,Он прозрачный,Прозрачный ли 
Жирный ли ,Жирный ли он,Он бархатистый,Бархатистый ли
Крепкий ли ,Крепкий ли он,Цветущий ли он,Цветущий ли 
Круглый ли ,Он круглый,Он измельчён ,Измельчён ли 
Серый ли ,Он серый,Он имеет мякоть,Имеет ли мякоть
Мясистый ли ,Мясистый ли он,Он высушенный,Высушенный ли
Горький ли ,Горький ли он,Пятнистый ли он,Пятнистый ли
Яркий ли ,Он яркий,Он с кожурой ,С кожурой ли 
Острый ли ,Он острый,Синий ли он,Синий ли 
Вязкий ли,Вязкий ли он,Он с дольками,С дольками ли 
Целый ли,Целый ли он,Продолговатый ли он,Продолговатый ли 
Спелый ли,Он спелый ,Мятый ли он,Мятый ли 
Скользкий ли,Он скользкий,Вытянут ли он,Вытянут ли 
Сморщенный ли,Он сморщенный,Он надломан,Надломан ли
Коричневый ли ,Коричневый ли он,Пустой ли он,Пустой ли
Ломкий ли ,Ломкий ли он,Он бурый,Бурый ли 
Мохнатый ли ,Мохнатый ли он,Он выжатый,Выжатый ли 
Сахаристый ли ,Сахаристый ли он,Объемный ли он,Объемный ли 
С косточкой ли ,Он с косточкой,Он волнистый,Волнистый ли 
Треугольный ли  ,Он треугольный,Белый ли он,Белый ли